# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 4  8  0.70761   7.98504  9.99990  0.20759  0.00000  1.00000  0.95900  0.03085
 4  9  0.62931   9.22942  9.99990  0.26634  0.00000  1.00000  0.97500  0.02281
 4 10  0.17609  26.53572  0.82078  4.06303  0.00000  1.00000  2.73300  0.05779
 4 11  0.21941  21.01768  0.75965  4.06069  0.00000  1.00000  2.31400  0.03247
 4 12  0.19820  22.83130  0.73314  4.46472  0.08272  0.89068  3.13100  0.03060
 4 13  0.19060  24.37871  0.74109  4.56107  9.99990  0.05076  2.00200  0.02670
 4 14  0.20244  23.99876  0.73939  4.46464  9.99990  0.04203  1.64300  0.02513
 4 15  0.20878  23.26892  0.74597  4.39880  0.00000  1.00000  1.43700  0.01909
 4 16  0.13993  31.47092  0.75557  5.26440  9.99990  0.07257  1.30200  0.02452
 4 17  0.09999  39.65836  0.72858  6.14523  9.99990  0.12318  1.34000  0.02134
 4 18  0.04068  67.94536  0.45719  9.99929  0.49955  2.98934  3.00800  0.03642
 4 19  0.03992  70.15673  0.42446 10.52193  0.52554  3.24149  2.73700  0.03054
 4 20  0.36373  14.26269  0.61836  3.71014  9.99990  0.01899  3.19400  0.03492
 4 21  0.34979  15.09742  0.64464  3.75252  0.00000  1.00000  1.95000  0.04005
 4 22  0.29091  18.20144  0.70582  4.05340  0.00000  1.00000  1.74400  0.04696
 4 23  0.32627  16.14996  0.67540  3.97992  0.00000  1.00000  1.57900  0.04133
 4 24  0.35091  14.97019  0.65242  3.98071  0.00000  1.00000  1.45900  0.02899
 4 25  0.02654 108.28638  0.33385 13.37864  0.64042  4.09236  1.37700  0.02384
 4 26  0.03276  92.93254  0.35131 12.47791  0.61574  4.12971  1.32600  0.01873
 4 27  0.03176  94.96412  0.33591 12.95709  0.62840  4.30061  1.29200  0.01795
 4 28  0.03754  90.20799  0.45219 10.85611  0.51790  3.74748  1.30600  0.01281
 4 29  0.02238 136.04089  0.35124 13.81104  0.61699  4.35080  1.53100  0.01606
 4 30  0.32256  16.40723  0.62166  4.87156  0.05441  1.78091  2.47700  0.01610
 4 31  0.32968  16.54280  0.63673  4.78612  9.99990  0.03848  1.94500  0.01536
 4 32  0.33475  16.72361  0.62859  4.79429  9.99990  0.04095  1.68300  0.01587
 4 33  0.02425 130.88522  0.39557 13.54906  0.56181  4.25826  1.52300  0.01360
 4 34  0.29116  19.53845  0.64748  5.18179  9.99990  0.06148  1.41300  0.01629
 4 35  0.26024  21.49243  0.65340  5.55304  9.99990  0.08002  1.48200  0.01382
